player,start_rank,start_points,difference,finish_rank,finish_points
Mark Williams,1,"53,390",-1,2,"46,785"
David Gray,30,"16,206",11,19,"22,868"
Ronnie O'Sullivan,2,"45,599",1,1,"50,024"
Peter Ebdon,7,"32,662",4,3,"44,652"
Paul Hunter,9,"25,884",0,9,"31,309"
Jimmy White,11,"23,584",1,10,"28,934"
Stephen Lee,8,"29,924",1,7,"39,669"
Matthew Stevens,6,"32,884",-2,8,"32,879"
Stephen Hendry,5,"25,603",-1,6,"42,128"
Drew Henry,18,"20,626",-4,22,"22,541"
Joe Perry,27,"17,014",14,13,"26,969"
Steve Davis,21,"19,505",-4,25,"21,775"
Fergal O'Brien,16,"21,131",-7,23,"22,408"
John Parrott,22,"19,413",4,18,"23,488"
Dave Harold,15,"21,430",-6,21,"22,615"
Dominic Dale,20,"19,514",0,20,"22,674"
Michael Judge,28,"16,808",4,24,"22,018"
Graeme Dott,14,"21,764",2,12,"27,159"
Joe Swail,10,"24,872",-6,16,"24,879"
Mark King,13,"21,875",2,11,"27,432"
Ken Doherty,4,"38,339",-1,5,"43,479"
Quinten Hann,25,"17,765",11,14,"26,232"
Anthony Hamilton,19,"20,621",2,17,"23,836"
Alan McManus,12,"21,940",-3,15,"25,740"
John Higgins,3,"43,724",-1,4,"44,334"
Brian Salmon,0,0,,103,"7,583"
Adrian Gunnell,67,"10,020",-3,70,"10,680"
Tony Drago,29,"16,521",1,28,"19,779"
Lee Walker,58,"10,639",-18,76,"10,252"
Sean Storey,89,"8,330",7,82,"9,685"
Steve James,62,"10,258",-24,86,"9,281"
Shokat Ali,40,"13,641",6,34,"17,921"
Nick Dyson,51,"11,408",-11,62,"13,063"
Ian McCulloch,48,"12,002",5,43,"15,958"
Gary Wilkinson,37,"14,033",-9,46,"15,076"
Steve Judd,100,"7,917",-28,128,"4,117"
Luke Simmonds,0,0,,102,"7,683"
Neal Foulds,71,"9,623",-7,78,"9,958"
Levi Meiller,0,0,,125,"5,833"
Mehmet Husnu,107,"7,553",-20,127,"4,133"
Ian Sargeant,0,0,,122,"6,433"
Craig Butler,113,"7,404",20,93,"8,633"
Kurt Maflin,0,0,,101,"7,883"
Barry Hawkins,85,"8,569",34,51,"14,649"
Mark Gray,92,"8,263",-8,100,"7,891"
