player,start_rank,start_points,difference,finish_rank,finish_points
Ken Owers,99,"8,910",-23,122,"6,885"
Chris Small,98,"8,940",12,86,"10,615"
Peter Daubney,97,"9,217",-6,103,"8,730"
Steve Duggan,96,"9,400",-43,139,"5,925"
Bill Oliver,95,"9,430",-51,146,"5,755"
Karl Payne,94,"9,437",16,78,"11,625"
Robert Marshall,93,"9,465",-57,150,"5,390"
Jon Wright - Not active,92,"9,575",92,0,0
Mark Davis,91,"9,741",26,65,"14,860"
Anthony Davies,90,"9,864",26,64,"15,230"
Nigel Bond,9,"35,130",-2,11,"34,730"
Craig Edwards,89,"9,955",10,79,"11,255"
Paul Gibson,88,"10,235",-36,124,"6,810"
Joe Grech,87,"10,270",6,81,"11,145"
Brian Rowswell,86,"10,290",11,75,"11,915"
Shaun Mellish,85,"10,430",-9,94,"9,455"
Robby Foldvari,84,"10,485",-42,126,"6,610"
Karl Broughton,83,"10,537",16,67,"14,725"
Steve Campbell,82,"10,635",-24,106,"8,435"
Paul Tanner,81,"10,638",-7,88,"10,345"
Tony Wilson,80,"10,735",-54,134,"6,235"
Terry Griffiths,8,"35,200",-6,14,"31,250"
Franky Chan,79,"10,900",-39,118,"7,425"
John Read,78,"10,935",-9,87,"10,560"
Troy Shaw,77,"11,006",3,74,"11,985"
Colin Roscoe,76,"11,610",-60,136,"6,185"
Nick Dyson,75,"11,755",-15,90,"10,180"
Paul McPhillips,74,"12,078",15,59,"15,935"
Mark Rowing,73,"12,300",-9,82,"11,100"
John Virgo,72,"12,900",-87,159,"4,925"
Andrew Cairns,71,"12,970",-24,95,"9,445"
Warren King,70,"13,000",-44,114,"7,725"
Willie Thorne,7,"35,600",-8,15,"31,250"
Kirk Stevens - Not active,69,"13,100",-93,162,"4,900"
Brady Gollan,68,"13,300",-30,98,"9,225"
David Taylor,67,"13,375",-37,104,"8,575"
Barry West,66,"13,420",-41,107,"8,370"
John Campbell - Not active,65,"13,730",65,0,0
Drew Henry,64,"13,780",25,39,"19,980"
Dave Finbow,63,"14,067",22,41,"19,530"
Eugene Hughes,62,"14,183",-9,71,"13,080"
Alex Higgins,61,"14,220",13,48,"17,820"
Stephen Murphy,60,"14,380",-3,63,"15,280"
Alan McManus,6,"40,400",0,6,"46,750"
Peter Cadogan,597,3,597,0,0
Shilun Thakkar - Not active,596,8,596,0,0
Stephen Phillips - Not active,595,12,595,0,0
Declan Healy - Not active,594,12,594,0,0
Christopher Flight,593,12,593,0,0
Jason Rosenfeld - Not active,592,15,592,0,0
Anup Amin - Not active,591,15,591,0,0
John Mulready - Not active,590,18,590,0,0
Billy Snaddon,59,"14,427",23,36,"21,940"
Mark Congram - Not active,589,20,589,0,0
Anthony Bridge,588,20,36,552,52
Russell Toombes - Not active,587,21,587,0,0
Neil Shaw - Not active,586,21,586,0,0
Martin O'Neill,585,24,332,253,"1,880"
Frank Smith,584,0,36,548,57
Andreas Ahmed,583,25,29,554,48
Don Watson - Not active,582,27,582,0,0
Nicholas Segal,581,30,55,526,0
Ross Mabbott,580,30,46,534,80
Jack McLaughlin,58,"14,610",-19,77,"11,710"
Frank Gumbrell,579,30,579,0,0
Tom Lee - Not active,578,36,578,0,0
Darren Skinner,577,39,58,519,105
David Giles - Not active,576,40,576,0,0
Robert Clifforth - Not active,575,40,575,0,0
Paul Strafford - Not active,574,43,574,0,0
Mike Watling - Not active,573,44,573,0,0
Ian Gerrard,572,44,572,0,0
Alan Brookes,571,44,32,539,76
Charles Vos - Not active,570,44,12,558,44
Ronnie O'Sullivan,57,"14,720",48,9,"37,620"
Dave Andrew,569,46,569,0,0
Gary Miller - Not active,568,48,568,0,0
Dean Bracey - Not active,567,48,12,555,48
Foizur Rahman - Not active,566,49,566,0,0
Ismail Yildiran,565,50,22,543,0
Chris Gill,564,50,33,531,86
Neville Atkins - Not active,563,50,563,0,0
Graham Bradley - Not active,562,56,562,0,0
Michael Burke - Not active,561,59,561,0,0
Ayub Khalifa - Not active,560,60,560,0,0
Steve Newbury,56,"14,730",-6,62,"15,280"
Russell Gough - Not active,559,60,559,0,0
Shaun Berry,558,62,65,493,148
Mark Ganderton,557,63,85,472,189
Gareth Esprit,556,63,39,517,0
Clement Walden - Not active,555,64,555,0,0
Stephen Sanders - Not active,554,64,554,0,0
John Cahill - Not active,552,65,552,0,0
Huseyin Hursid,551,69,40,511,119
